State,ABBR,Jan2020c,Jan2020u,Feb2020c,Feb2020u,Mar2020c,Mar2020u,Apr2020c,Apr2020u,May2020c,May2020u,Jun2020c,Jun2020u,Jul2020c,Jul2020u,Aug2020c,Aug2020u,Sep2020c,Sep2020u,Oct2020c,Oct2020u,Nov2020c,Nov2020u,Dec2020c,Dec2020u,Jan2021c,Jan2021u,Feb2021c,Feb2021u,Mar2021c,Mar2021u,Apr2021c,Apr2021u,May2021c,May2021u,Jun2021c,Jun2021u,Population
Michigan,MI,0,3.7,0,3.7,19887,3.7,34478,23.6,43512,20.8,26881,14.1,41093,9,38966,8.5,36646,8.2,66473,8.1,173137,8.2,107516,8.2,63866,5.7,34815,5.2,110205,5.1,157740,4.9,39794,5,6176,5,"9,986,857"
Minnesota,MN,0,3.2,0,3.3,689,3.5,4447,9,20072,11.3,11508,8.9,18472,7.6,20676,6.6,23270,5.8,49338,5.3,170291,5,96539,4.7,46505,4.5,22787,4.4,34044,4.2,56283,4.1,25638,4,3915,4,"5,639,632"
Mississippi,MS,0,5.6,0,5.8,2242,6,6218,15.7,8987,11,15389,9.6,31944,8.5,21714,7.8,15005,7.2,21304,6.9,36049,6.7,63076,6.6,55973,6.4,18619,6.3,9712,6.2,6746,6.2,5132,6.1,4189,6.2,"2,976,149"
Missouri,MO,0,3.6,0,3.6,2558,3.7,6142,12.5,5393,9.6,11267,8.1,30375,6.8,35304,6,46213,5.4,65625,5,135242,4.7,111450,4.4,76800,4.3,24690,4.3,17032,4.2,17582,4.1,14044,4.2,20308,4.3,"6,137,428"
Montana,MT,0,3.7,0,3.7,203,3.8,250,11.9,62,9.1,503,7.6,2947,6.6,3528,5.8,5900,5.2,19408,4.7,29397,4.5,19357,4.2,12394,4,6005,3.9,4598,3.8,4193,3.7,3012,3.6,1926,3.7,"1,068,778"
Nebraska,NE,0,2.9,0,3,177,3.1,4104,7.4,9820,5.4,5076,6.6,7034,4.4,8076,4,11278,3.8,25178,3.6,57681,3.4,38489,3.4,23930,3.2,10169,3.1,8464,2.9,10688,2.8,3204,2.6,1217,2.5,"1,934,408"
Nevada,NV,0,3.7,0,3.7,1113,6.4,3894,29.5,3603,24.5,10074,15.4,29628,16.6,21172,14.5,10601,13,20678,12,51406,8.7,72562,8.2,53577,8.5,15446,8.4,10008,8.1,11676,8,8694,7.8,9580,7.8,"3,080,156"
New Hampshire,NH,0,2.6,0,2.6,367,2.7,1779,16,2505,13.4,1131,10.3,801,8.1,692,6.6,991,5.5,2818,4.7,9910,4.2,23034,3.8,21667,3.6,9729,3.3,8752,3,10710,2.8,3860,2.9,758,2.9,"1,359,711"
New Jersey,NJ,0,3.7,0,3.7,18696,3.8,99957,16.6,42154,16.5,11871,16.3,11286,13.1,11506,11,15118,7.8,39343,7.7,117852,10.2,160001,7.7,169045,7.8,92527,7.8,119460,7.6,97412,7.5,19109,7.2,7063,7.3,"8,882,190"
New Mexico,NM,0,5.1,0,5.3,315,5.4,3096,10,4278,10,4458,9.8,8453,12.5,4752,9.3,4083,8.6,17055,8.5,50605,8.5,45769,8.6,31200,8.7,11068,8.3,6520,8.3,6081,8.1,5415,7.9,2394,7.9,"2,096,829"
New York,NY,0,3.8,0,3.9,32656,3.9,104238,16.2,30573,15.7,10808,15,11591,14.7,10653,11.7,14089,10,29663,8.7,91730,8.7,212153,8.7,263125,8.8,107667,8.9,107227,8.4,92985,8.2,32062,7.8,6255,7.7,"19,453,561"
North Carolina,NC,0,3.5,0,3.6,2314,3.9,9178,13.5,19153,13.5,41133,8.8,56626,8.8,44946,6.8,41362,7.3,65155,6.8,94746,6.4,199429,6.1,208556,5.9,82909,5.7,51787,5.2,53979,5,29841,4.8,12228,4.6,"10,488,084"
